|2024-09-11 12:11:18.942890| | |
menn|1|0|28845|IK Tjalve
menn|1|1|25896|Sportsklubben Vidar
menn|1|2|25758|Sandnes IL
menn|1|3|25452|IL i BUL
menn|1|4|25446|Ullensaker/Kisa IL
menn|1|5|24505|IL Gneist
menn|1|6|23675|IK Tjalve 2. lag
menn|1|7|23462|IL Tyrving
menn|1|8|23278|Fana IL
menn|1|9|23185|Norna-Salhus IL
menn|1|10|21455|IL Sandvin
menn|1|11|19464|Idrettslaget Skjalg
menn|1|12|18385|Moelven IL
menn|1|13|17660|Sørild FIK
menn|2|0|18436|IL i BUL 2. lag
menn|2|1|18371|Kristiansands IF Friidrett
menn|2|2|18335|Ranheim IL
menn|2|3|17702|Tønsberg Friidrettsklubb
menn|2|4|17296|Stord Idrettslag
menn|2|5|17292|IK Hind
menn|2|6|17139|Ask Friidrett
menn|2|7|16975|Fyllingen IL
menn|2|8|16490|Haugesund IL
menn|2|9|16294|IL i BUL 3. lag
menn|2|10|16078|Osterøy IL
menn|2|11|15884|Dimna IL
menn|2|12|15791|Steinkjer Friidrettsklubb
menn|2|13|11865|Asker Sk. Friidrett
menn|3|0|14457|IL Gular
menn|3|1|13495|Hattfjelldal IL
menn|3|2|13349|Moss IL
menn|3|3|13316|IL Tyrving 2. lag
menn|3|4|13023|Søndre Land IL
menn|3|5|12526|Ullensaker/Kisa IL 2. lag
menn|3|6|12519|Fredrikstad IF
menn|3|7|12429|Sandnes IL 2. lag
menn|3|8|12429|Sportsklubben Vidar 2. lag
menn|3|9|12421|IL i BUL Tromsø
menn|3|10|12282|IL Gneist 2. lag
menn|3|11|12279|Bækkelagets SK
menn|3|12|12232|Laksevåg TIL
menn|3|13|12067|IF Sturla
menn|3|14|11891|Snøgg Friidrett
menn|3|15|11870|Ringerike Friidrettsklubb
menn|3|16|11639|Hamar IL
menn|3|17|11568|Stjørdal Friidrettsklubb
menn|3|18|11485|IK Tjalve 3. lag
menn|3|19|11459|Sarpsborg IL
menn|3|20|10960|IL Gular 2. lag
menn|3|21|10905|Bøler IF
menn|3|22|10855|Mjøsdalen IL
menn|3|23|10812|Rjukan Idrettslag
menn|3|24|10789|Lillehammer IF
menn|3|25|10775|Larvik Turn & IF
menn|3|26|10686|Sandefjord Turn & IF
menn|3|27|10596|Sortland Friidrettsklubb
menn|3|28|10474|FIK Orion
menn|3|29|10453|Byåsen IL
menn|3|30|10423|Egersunds IK
menn|3|31|10352|Lørenskog Friidrettslag
menn|3|32|10281|Strindheim IL
menn|3|33|10027|Sømna IL
menn|3|34|10021|Jølster IL
menn|3|35|10011|IK Hind 2. lag
menn|3|36|9699|Overhalla IL
menn|3|37|9500|Gloppen Friidrettslag
menn|3|38|9486|Nittedal IL
menn|3|39|9480|Fana IL 2. lag
menn|3|40|9452|FIK Ren-Eng
menn|3|41|9429|IF Hellas
menn|3|42|9398|IL Fri
menn|3|43|9373|Utleira IL Friidrett
menn|3|44|9325|Ranheim IL 2. lag
menn|3|45|9310|IL i BUL 4. lag
menn|3|46|9250|Sem IF
menn|3|47|9198|IL Tyrving 3. lag
menn|3|48|9190|Florø Turn og IF
menn|3|49|9124|IL Norodd
menn|3|50|8995|Stadsbygd IL
menn|3|51|8727|Ullensaker/Kisa IL 3. lag
menn|3|52|8696|Sandnes IL 3. lag
