|2023-06-17 12:01:10.789755| | |
kvinner|3|20|12382|Kristiansands IF Friidrett
kvinner|3|21|12287|Tønsberg Friidrettsklubb
kvinner|3|22|12255|Sørild FIK
kvinner|3|23|12136|Herkules Friidrett
kvinner|3|24|11797|Fyllingen IL
kvinner|3|25|11641|Urædd Friidrett
kvinner|3|26|11608|Ask Friidrett
kvinner|3|27|11569|IF Sturla
kvinner|3|28|11530|BUL-Tromsø Friidrett
kvinner|3|29|11496|Laksevåg TIL
kvinner|3|30|11457|Ranheim IL 2. lag
kvinner|3|31|11406|Sarpsborg IL
kvinner|3|32|11382|Hattfjelldal IL
kvinner|3|33|11235|Ski IL Friidrett
kvinner|3|34|11176|Trondheim Friidrett
kvinner|3|35|11001|Ørsta IL
kvinner|3|36|10991|Hareid IL
kvinner|3|37|10817|Idrettslaget Skjalg 2. lag
kvinner|3|38|10808|Dimna IL 2. lag
kvinner|3|39|10771|Strindheim IL
kvinner|3|40|10627|Utleira IL Friidrett
kvinner|3|41|10596|Gloppen Friidrettslag
kvinner|3|42|10263|Sandnes IL 3. lag
kvinner|3|43|10176|FIK Orion
kvinner|3|44|10087|Fredrikstad IF 2. lag
kvinner|3|45|9827|Sportsklubben Vidar 2. lag
kvinner|3|46|9822|Nittedal IL
kvinner|3|47|9813|Varegg IL
kvinner|3|48|9735|IL Tyrving 3. lag
kvinner|3|49|9626|IK Tjalve 3. lag
kvinner|3|50|9569|Fagernes IL
kvinner|3|51|9563|Rjukan Idrettslag
kvinner|3|52|9550|Bergens Turnforening
kvinner|3|53|9513|IK Hind
kvinner|3|54|9374|Larvik Turn & IF
kvinner|3|55|9359|Romerike Friidrett
kvinner|3|56|9204|Moss IL
kvinner|3|57|9047|Asker Sk. Friidrett
kvinner|3|58|9028|Ringerike Friidrettsklubb
kvinner|3|59|8889|IL Runar
kvinner|3|60|8810|IF Hellas
kvinner|3|61|8782|IL Norodd
kvinner|3|62|8765|Ås IL
kvinner|3|63|8760|Gui Sportsklubb
kvinner|3|64|8743|Moelven IL
kvinner|3|65|8697|Mandal & Halse IL
kvinner|3|66|8666|IL i BUL 2. lag
kvinner|3|67|8476|Sandnessjøen IL
kvinner|3|68|8388|Ullensaker/Kisa IL 2. lag
kvinner|3|69|8376|Halden IL
kvinner|3|70|8365|Os Turnforening
kvinner|3|71|8333|Bækkelagets SK 2. lag
kvinner|3|72|8300|Sem IF
kvinner|3|73|8228|IL Gular
kvinner|3|74|8100|Jardar IL
kvinner|3|75|8049|Tingvoll FIK
kvinner|3|76|8020|Haugesund IL 2. lag
kvinner|3|77|7944|Steinkjer Friidrettsklubb
kvinner|3|78|7899|Hamar IL
kvinner|3|79|7866|Stord IL
kvinner|3|80|7760|Fana IL 2. lag
kvinner|3|81|7694|Lillehammer IF
kvinner|3|82|7655|Hinna IL
kvinner|3|83|7556|Voss IL
kvinner|3|84|7553|Ålesund Friidrettsklubb
kvinner|3|85|7504|Førde IL Friidrett
kvinner|3|86|7496|Byåsen IL
kvinner|3|87|7403|Tønsberg Friidrettsklubb 2. lag
kvinner|3|88|7276|Florø Turn og IF
kvinner|3|89|7192|Egersunds IK
kvinner|3|90|7188|Ørje IL
kvinner|3|91|7103|Otra IL
kvinner|3|92|7039|Sømna IL
kvinner|3|93|6944|Overhalla IL
kvinner|3|94|6894|Sandnes IL 4. lag
kvinner|3|95|6800|Verdal Friidrettsklubb
kvinner|3|96|6755|Lørenskog Friidrettslag
kvinner|3|97|6739|IL Bjarg
kvinner|3|98|6678|Sortland Friidrettsklubb
kvinner|3|99|6520|Herkules Friidrett 2. lag
kvinner|3|100|6480|Gjesdal IL
kvinner|3|101|6324|IL Koll
kvinner|3|102|6281|Nesodden IF
kvinner|3|103|6250|IL Tyrving 4. lag
kvinner|3|104|6153|BUL-Tromsø Friidrett 2. lag
kvinner|3|105|6020|IF Sturla 2. lag
kvinner|3|106|5984|Stjørdal Friidrettsklubb
kvinner|3|107|5971|Varegg IL 2. lag
kvinner|3|108|5911|Bardu IL
kvinner|3|109|5900|Sørild FIK 2. lag
kvinner|3|110|5870|Drøbak-Frogn IL Friidrett
kvinner|3|111|5746|Selbu IL
kvinner|3|112|5721|Bækkelagets SK 3. lag
kvinner|3|113|5705|Norna-Salhus IL 3. lag
kvinner|3|114|5554|Fredrikstad IF 3. lag
kvinner|3|115|5549|IK Hind 2. lag
kvinner|3|116|5527|IL Pioner
kvinner|3|117|5466|Gui Sportsklubb 2. lag
kvinner|3|118|5461|Gjesdal IL 2. lag
kvinner|3|119|5419|Bodø Friidrettsklubb
kvinner|3|120|5371|Groruddalen Friidrettsklubb
kvinner|3|121|5349|Lyngdal IL
kvinner|3|122|5349|Askim IF
kvinner|3|123|5334|Namsen Friidrettsforening
kvinner|3|124|5318|Kristiansands IF Friidrett 2. lag
kvinner|3|125|5306|Løten Friidrett
kvinner|3|126|5290|Rjukan Idrettslag 2. lag
kvinner|3|127|5238|Lambertseter IF 2. lag
kvinner|3|128|5197|Lillehammer IF 2. lag
kvinner|3|129|5180|Hvam IL
kvinner|3|130|5178|IL Gular 2. lag
